from,to,season,weight
Pique,Afellay,2010/2011,11
Pique,Afellay,2011/2012,2
Pique,Afellay,2013/2014,2
Pique,Alba,2012/2013,74
Pique,Alba,2013/2014,34
Pique,Alba,2014/2015,59
Pique,Alba,2015/2016,48
Pique,Alexis,2011/2012,37
Pique,Alexis,2012/2013,41
Pique,Alexis,2013/2014,28
Pique,Arda,2015/2016,40
Pique,Bartra,2012/2013,11
Pique,Bartra,2013/2014,34
Pique,Bartra,2014/2015,56
Pique,Bartra,2015/2016,35
Pique,Bojan,2008/2009,7
Pique,Bojan,2009/2010,23
Pique,Bojan,2010/2011,11
Pique,Bravo,2014/2015,135
Pique,Bravo,2015/2016,167
Pique,Busquets,2008/2009,72
Pique,Busquets,2009/2010,153
Pique,Busquets,2010/2011,213
Pique,Busquets,2011/2012,81
Pique,Busquets,2012/2013,126
Pique,Busquets,2013/2014,128
Pique,Busquets,2014/2015,165
Pique,Busquets,2015/2016,259
Pique,Caceres,2008/2009,7
Pique,Chygrynskiy,2009/2010,82
Pique,Cuenca,2011/2012,12
Pique,Dani Alves,2008/2009,109
Pique,Dani Alves,2009/2010,159
Pique,Dani Alves,2010/2011,188
Pique,Dani Alves,2011/2012,91
Pique,Dani Alves,2012/2013,138
Pique,Dani Alves,2013/2014,102
Pique,Dani Alves,2014/2015,215
Pique,Dani Alves,2015/2016,238
Pique,Deulofeu,2011/2012,1
Pique,Douglas,2014/2015,12
Pique,Fabregas,2011/2012,39
Pique,Fabregas,2012/2013,68
Pique,Fabregas,2013/2014,77
Pique,Fontas,2010/2011,16
Pique,Gudjohnsen,2008/2009,7
Pique,Gumbau,2015/2016,3
Pique,Henry,2008/2009,37
Pique,Henry,2009/2010,21
Pique,Hleb,2008/2009,9
Pique,Iniesta,2008/2009,61
Pique,Iniesta,2009/2010,63
Pique,Iniesta,2010/2011,107
Pique,Iniesta,2011/2012,28
Pique,Iniesta,2012/2013,54
Pique,Iniesta,2013/2014,53
Pique,Iniesta,2014/2015,66
Pique,Iniesta,2015/2016,58
Pique,Ivan Rakitić,2014/2015,122
Pique,Ivan Rakitić,2015/2016,171
Pique,Jeffren,2009/2010,9
Pique,Jeffren,2010/2011,1
Pique,Jonathan dos Santos,2011/2012,3
Pique,Kéita,2008/2009,37
Pique,Kéita,2009/2010,65
Pique,Kéita,2010/2011,58
Pique,Kéita,2011/2012,36
Pique,Marquez,2008/2009,99
Pique,Marquez,2009/2010,37
Pique,Mascherano,2010/2011,136
Pique,Mascherano,2011/2012,91
Pique,Mascherano,2012/2013,104
Pique,Mascherano,2013/2014,141
Pique,Mascherano,2014/2015,188
Pique,Mascherano,2015/2016,302
Pique,Mathieu,2014/2015,169
Pique,Mathieu,2015/2016,82
Pique,Maxwell,2009/2010,70
Pique,Maxwell,2010/2011,48
Pique,Maxwell,2011/2012,12
Pique,Messi,2008/2009,65
Pique,Messi,2009/2010,80
Pique,Messi,2010/2011,126
Pique,Messi,2011/2012,56
Pique,Messi,2012/2013,76
Pique,Messi,2013/2014,33
Pique,Messi,2014/2015,119
Pique,Messi,2015/2016,129
Pique,Milito,2009/2010,23
Pique,Milito,2010/2011,48
Pique,Montoya,2010/2011,5
Pique,Montoya,2011/2012,20
Pique,Montoya,2012/2013,57
Pique,Montoya,2013/2014,22
Pique,Montoya,2014/2015,33
Pique,Munir,2014/2015,14
Pique,Munir,2015/2016,25
Pique,Neymar,2013/2014,33
Pique,Neymar,2014/2015,49
Pique,Neymar,2015/2016,49
Pique,Nolito,2010/2011,2
Pique,Pedro,2008/2009,6
Pique,Pedro,2009/2010,80
Pique,Pedro,2010/2011,80
Pique,Pedro,2011/2012,7
Pique,Pedro,2012/2013,85
Pique,Pedro,2013/2014,38
Pique,Pedro,2014/2015,24
Pique,Pinto,2010/2011,26
Pique,Pinto,2012/2013,21
Pique,Pinto,2013/2014,10
Pique,Puyol,2008/2009,136
Pique,Puyol,2009/2010,121
Pique,Puyol,2010/2011,81
Pique,Puyol,2011/2012,52
Pique,Puyol,2012/2013,78
Pique,Puyol,2013/2014,2
Pique,Rafinha,2014/2015,66
Pique,Rafinha,2015/2016,7
Pique,Samuel Eto''o Fils,2008/2009,49
Pique,Sandro,2014/2015,3
Pique,Sandro,2015/2016,7
Pique,Sergi Roberto,2011/2012,4
Pique,Sergi Roberto,2013/2014,4
Pique,Sergi Roberto,2014/2015,12
Pique,Sergi Roberto,2015/2016,120
Pique,Song,2012/2013,61
Pique,Song,2013/2014,19
Pique,Suarez,2014/2015,60
Pique,Suarez,2015/2016,88
Pique,Sylvinho,2008/2009,36
Pique,Tello,2011/2012,6
Pique,Tello,2012/2013,36
Pique,Tello,2013/2014,8
Pique,Thiago,2009/2010,2
Pique,Thiago,2010/2011,33
Pique,Thiago,2011/2012,49
Pique,Thiago,2012/2013,101
Pique,Toure,2008/2009,74
Pique,Toure,2009/2010,112
Pique,Valdes,2008/2009,93
Pique,Valdes,2009/2010,143
Pique,Valdes,2010/2011,121
Pique,Valdes,2011/2012,95
Pique,Valdes,2012/2013,98
Pique,Valdes,2013/2014,84
Pique,Vermaelen,2015/2016,9
Pique,Vidal,2015/2016,97
Pique,Villa,2010/2011,67
Pique,Villa,2011/2012,9
Pique,Villa,2012/2013,22
Pique,Xavi,2008/2009,174
Pique,Xavi,2009/2010,188
Pique,Xavi,2010/2011,253
Pique,Xavi,2011/2012,88
Pique,Xavi,2012/2013,181
Pique,Xavi,2013/2014,129
Pique,Xavi,2014/2015,88
Pique,Zlatan Ibrahimović,2009/2010,55
Pique,ter Stegen,2015/2016,31
Puyol,Abella,2004/2005,9
Puyol,Abidal,2007/2008,69
Puyol,Abidal,2008/2009,116
Puyol,Abidal,2009/2010,66
Puyol,Abidal,2010/2011,105
Puyol,Abidal,2011/2012,87
Puyol,Adriano,2010/2011,8
Puyol,Adriano,2011/2012,27
Puyol,Adriano,2012/2013,10
Puyol,Adriano,2013/2014,35
Puyol,Afellay,2010/2011,2
Puyol,Afellay,2011/2012,3
Puyol,Alba,2012/2013,88
Puyol,Alexis,2011/2012,19
Puyol,Alexis,2012/2013,13
Puyol,Alexis,2013/2014,4
Puyol,Bartra,2009/2010,2
Puyol,Bartra,2013/2014,28
Puyol,Belletti,2004/2005,26
Puyol,Belletti,2005/2006,45
Puyol,Belletti,2006/2007,8
Puyol,Bojan,2007/2008,13
Puyol,Bojan,2008/2009,4
Puyol,Bojan,2009/2010,21
Puyol,Bojan,2010/2011,5
Puyol,Busquets,2008/2009,91
Puyol,Busquets,2009/2010,141
Puyol,Busquets,2010/2011,78
Puyol,Busquets,2011/2012,80
Puyol,Busquets,2012/2013,91
Puyol,Busquets,2013/2014,29
Puyol,Caceres,2008/2009,19
Puyol,Chygrynskiy,2009/2010,26
Puyol,Cuenca,2011/2012,36
Puyol,Dani Alves,2008/2009,33
Puyol,Dani Alves,2009/2010,80
Puyol,Dani Alves,2010/2011,58
Puyol,Dani Alves,2011/2012,126
Puyol,Dani Alves,2012/2013,35
Puyol,Dani Alves,2013/2014,3
Puyol,Deco,2004/2005,33
Puyol,Deco,2005/2006,57
Puyol,Deco,2006/2007,129
Puyol,Deco,2007/2008,37
Puyol,Edmilson,2005/2006,60
Puyol,Edmilson,2006/2007,56
Puyol,Edmilson,2007/2008,13
Puyol,Ezquerro,2005/2006,1
Puyol,Fabregas,2011/2012,52
Puyol,Fabregas,2012/2013,30
Puyol,Fabregas,2013/2014,14
Puyol,Fali,2007/2008,1
Puyol,Fontas,2010/2011,17
Puyol,Gabri,2005/2006,7
Puyol,Giovano,2007/2008,23
Puyol,Giuly,2004/2005,2
Puyol,Giuly,2005/2006,6
Puyol,Giuly,2006/2007,5
Puyol,Gudjohnsen,2006/2007,8
Puyol,Gudjohnsen,2007/2008,23
Puyol,Gudjohnsen,2008/2009,34
Puyol,Henry,2007/2008,24
Puyol,Henry,2008/2009,72
Puyol,Henry,2009/2010,18
Puyol,Hleb,2008/2009,5
Puyol,Iniesta,2004/2005,10
Puyol,Iniesta,2005/2006,47
Puyol,Iniesta,2006/2007,149
Puyol,Iniesta,2007/2008,65
Puyol,Iniesta,2008/2009,74
Puyol,Iniesta,2009/2010,68
Puyol,Iniesta,2010/2011,32
Puyol,Iniesta,2011/2012,57
Puyol,Iniesta,2012/2013,27
Puyol,Iniesta,2013/2014,23
Puyol,Jeffren,2009/2010,26
Puyol,Jonathan dos Santos,2009/2010,5
Puyol,Jonathan dos Santos,2011/2012,9
Puyol,Kéita,2008/2009,51
Puyol,Kéita,2009/2010,73
Puyol,Kéita,2010/2011,15
Puyol,Kéita,2011/2012,22
Puyol,Larsson,2004/2005,3
Puyol,Larsson,2005/2006,13
Puyol,Marquez,2004/2005,29
Puyol,Marquez,2005/2006,172
Puyol,Marquez,2006/2007,149
Puyol,Marquez,2007/2008,92
Puyol,Marquez,2008/2009,116
Puyol,Marquez,2009/2010,85
Puyol,Mascherano,2010/2011,35
Puyol,Mascherano,2011/2012,171
Puyol,Mascherano,2012/2013,56
Puyol,Mascherano,2013/2014,12
Puyol,Maxwell,2009/2010,68
Puyol,Maxwell,2010/2011,32
Puyol,Maxwell,2011/2012,4
Puyol,Messi,2004/2005,2
Puyol,Messi,2005/2006,27
Puyol,Messi,2006/2007,17
Puyol,Messi,2007/2008,70
Puyol,Messi,2008/2009,46
Puyol,Messi,2009/2010,63
Puyol,Messi,2010/2011,18
Puyol,Messi,2011/2012,44
Puyol,Messi,2012/2013,13
Puyol,Messi,2013/2014,1
Puyol,Milito,2007/2008,152
Puyol,Milito,2009/2010,62
Puyol,Montoya,2011/2012,10
Puyol,Montoya,2013/2014,12
Puyol,Motta,2004/2005,6
Puyol,Motta,2005/2006,19
Puyol,Motta,2006/2007,18
Puyol,Neymar,2013/2014,9
Puyol,Oleguer,2004/2005,57
Puyol,Oleguer,2005/2006,83
Puyol,Oleguer,2006/2007,18
Puyol,Oleguer,2007/2008,9
Puyol,Pedro,2008/2009,14
Puyol,Pedro,2009/2010,32
Puyol,Pedro,2010/2011,19
Puyol,Pedro,2011/2012,24
Puyol,Pedro,2012/2013,9
Puyol,Pedro,2013/2014,8
Puyol,Pinto,2007/2008,2
Puyol,Pinto,2011/2012,16
Puyol,Pinto,2012/2013,4
Puyol,Pique,2008/2009,131
Puyol,Pique,2009/2010,180
Puyol,Pique,2010/2011,116
Puyol,Pique,2011/2012,90
Puyol,Pique,2012/2013,82
Puyol,Pique,2013/2014,7
Puyol,Ronaldinho,2004/2005,12
Puyol,Ronaldinho,2005/2006,69
Puyol,Ronaldinho,2006/2007,54
Puyol,Ronaldinho,2007/2008,13
Puyol,Ruben,2004/2005,1
Puyol,Rueda,2007/2008,4
Puyol,Samuel Eto''o Fils,2004/2005,8
Puyol,Samuel Eto''o Fils,2005/2006,26
Puyol,Samuel Eto''o Fils,2006/2007,29
Puyol,Samuel Eto''o Fils,2007/2008,12
Puyol,Samuel Eto''o Fils,2008/2009,85
Puyol,Saviola,2006/2007,1
Puyol,Song,2012/2013,28
Puyol,Song,2013/2014,3
Puyol,Sylvinho,2005/2006,86
Puyol,Sylvinho,2006/2007,62
Puyol,Sylvinho,2007/2008,24
Puyol,Sylvinho,2008/2009,10
Puyol,Tello,2011/2012,8
Puyol,Tello,2012/2013,3
Puyol,Thiago,2010/2011,4
Puyol,Thiago,2011/2012,79
Puyol,Thiago,2012/2013,39
Puyol,Thuram,2006/2007,168
Puyol,Thuram,2007/2008,69
Puyol,Toure,2007/2008,47
Puyol,Toure,2008/2009,95
Puyol,Toure,2009/2010,91
Puyol,Valdes,2004/2005,19
Puyol,Valdes,2005/2006,37
Puyol,Valdes,2006/2007,57
Puyol,Valdes,2007/2008,38
Puyol,Valdes,2008/2009,32
Puyol,Valdes,2009/2010,104
Puyol,Valdes,2010/2011,69
Puyol,Valdes,2011/2012,60
Puyol,Valdes,2012/2013,31
Puyol,Valdes,2013/2014,20
Puyol,Victor Sanchez,2008/2009,1
Puyol,Villa,2010/2011,9
Puyol,Villa,2011/2012,2
Puyol,Xavi,2004/2005,49
Puyol,Xavi,2005/2006,47
Puyol,Xavi,2006/2007,176
Puyol,Xavi,2007/2008,189
Puyol,Xavi,2008/2009,171
Puyol,Xavi,2009/2010,191
Puyol,Xavi,2010/2011,87
Puyol,Xavi,2011/2012,115
Puyol,Xavi,2012/2013,49
Puyol,Xavi,2013/2014,16
Puyol,Zambrotta,2006/2007,53
Puyol,Zambrotta,2007/2008,70
Puyol,Zlatan Ibrahimović,2009/2010,47
Puyol,van Bommel,2005/2006,8
Puyol,van Bronckhorst,2004/2005,8
Puyol,van Bronckhorst,2005/2006,17
Puyol,van Bronckhorst,2006/2007,157
Rafinha,Adriano,2014/2015,57
Rafinha,Adriano,2015/2016,5
Rafinha,Alba,2014/2015,79
Rafinha,Alba,2015/2016,11
Rafinha,Arda,2015/2016,4
Rafinha,Bartra,2014/2015,38
Rafinha,Bartra,2015/2016,1
Rafinha,Bravo,2014/2015,5
Rafinha,Bravo,2015/2016,1
Rafinha,Busquets,2014/2015,75
Rafinha,Busquets,2015/2016,25
Rafinha,Dani Alves,2014/2015,67
Rafinha,Dani Alves,2015/2016,12
Rafinha,Douglas,2014/2015,10
Rafinha,Iniesta,2014/2015,20
Rafinha,Iniesta,2015/2016,14
Rafinha,Ivan Rakitić,2014/2015,35
Rafinha,Ivan Rakitić,2015/2016,4
Rafinha,Mascherano,2014/2015,47
Rafinha,Mascherano,2015/2016,14
Rafinha,Mathieu,2014/2015,28
Rafinha,Mathieu,2015/2016,3
Rafinha,Messi,2014/2015,96
Rafinha,Messi,2015/2016,15
Rafinha,Montoya,2014/2015,19
Rafinha,Munir,2014/2015,11
Rafinha,Munir,2015/2016,1
Rafinha,Neymar,2014/2015,72
Rafinha,Neymar,2015/2016,12
Rafinha,Pedro,2014/2015,33
Rafinha,Pique,2014/2015,46
Rafinha,Pique,2015/2016,7
Rafinha,Sandro,2014/2015,1
Rafinha,Sergi Roberto,2014/2015,28
Rafinha,Sergi Roberto,2015/2016,16
Rafinha,Suarez,2014/2015,32
Rafinha,Suarez,2015/2016,17
Rafinha,Vermaelen,2014/2015,7
Rafinha,Vermaelen,2015/2016,4
Rafinha,Xavi,2014/2015,37
Rafinha,ter Stegen,2015/2016,1
Rodri,Deco,2004/2005,1
Rodri,Sylvinho,2004/2005,1
Rodri,Xavi,2004/2005,1
Ronaldinho,Abella,2004/2005,1
Ronaldinho,Abidal,2007/2008,38
Ronaldinho,Belletti,2004/2005,34
Ronaldinho,Belletti,2005/2006,11
Ronaldinho,Belletti,2006/2007,9
Ronaldinho,Bojan,2007/2008,9
Ronaldinho,Deco,2004/2005,65
Ronaldinho,Deco,2005/2006,114
Ronaldinho,Deco,2006/2007,162
Ronaldinho,Deco,2007/2008,29
Ronaldinho,Edmilson,2005/2006,36
Ronaldinho,Edmilson,2006/2007,18
Ronaldinho,Edmilson,2007/2008,4
Ronaldinho,Ezquerro,2007/2008,2
Ronaldinho,Gabri,2005/2006,7
Ronaldinho,Giovano,2007/2008,16
Ronaldinho,Giuly,2004/2005,21
Ronaldinho,Giuly,2005/2006,27
Ronaldinho,Giuly,2006/2007,33
Ronaldinho,Gudjohnsen,2006/2007,34
Ronaldinho,Gudjohnsen,2007/2008,5
Ronaldinho,Henry,2007/2008,28
Ronaldinho,Iniesta,2004/2005,41
Ronaldinho,Iniesta,2005/2006,46
Ronaldinho,Iniesta,2006/2007,113
Ronaldinho,Iniesta,2007/2008,63
Ronaldinho,Larsson,2004/2005,5
Ronaldinho,Larsson,2005/2006,54
Ronaldinho,Marquez,2004/2005,17
Ronaldinho,Marquez,2005/2006,22
Ronaldinho,Marquez,2006/2007,23
Ronaldinho,Marquez,2007/2008,3
Ronaldinho,Maxi Lopez,2004/2005,5
Ronaldinho,Maxi Lopez,2005/2006,2
Ronaldinho,Messi,2004/2005,6
Ronaldinho,Messi,2005/2006,63
Ronaldinho,Messi,2006/2007,160
Ronaldinho,Messi,2007/2008,83
Ronaldinho,Milito,2007/2008,6
Ronaldinho,Motta,2005/2006,32
Ronaldinho,Motta,2006/2007,7
Ronaldinho,Oleguer,2004/2005,2
Ronaldinho,Oleguer,2005/2006,33
Ronaldinho,Oleguer,2006/2007,9
Ronaldinho,Oleguer,2007/2008,6
Ronaldinho,Puyol,2004/2005,4
Ronaldinho,Puyol,2005/2006,14
Ronaldinho,Puyol,2006/2007,29
Ronaldinho,Puyol,2007/2008,9
Ronaldinho,Samuel Eto''o Fils,2004/2005,39
Ronaldinho,Samuel Eto''o Fils,2005/2006,135
Ronaldinho,Samuel Eto''o Fils,2006/2007,125
Ronaldinho,Samuel Eto''o Fils,2007/2008,31
Ronaldinho,Saviola,2006/2007,25
Ronaldinho,Sylvinho,2005/2006,114
Ronaldinho,Sylvinho,2006/2007,76
Ronaldinho,Sylvinho,2007/2008,45
Ronaldinho,Thuram,2006/2007,4
Ronaldinho,Thuram,2007/2008,4
Ronaldinho,Toure,2007/2008,12
Ronaldinho,Xavi,2004/2005,42
Ronaldinho,Xavi,2005/2006,32
Ronaldinho,Xavi,2006/2007,139
Ronaldinho,Xavi,2007/2008,54
Ronaldinho,Zambrotta,2006/2007,53
Ronaldinho,Zambrotta,2007/2008,24
Ronaldinho,van Bommel,2005/2006,34
Ronaldinho,van Bronckhorst,2004/2005,31
Ronaldinho,van Bronckhorst,2005/2006,34
Ronaldinho,van Bronckhorst,2006/2007,90
Ruben,Belletti,2004/2005,4
Ruben,Deco,2004/2005,3
Ruben,Oleguer,2004/2005,4
Ruben,Puyol,2004/2005,4
Ruben,Ronaldinho,2004/2005,3
Ruben,Samuel Eto''o Fils,2004/2005,3
Ruben,Xavi,2004/2005,2
Ruben,van Bronckhorst,2004/2005,1
Rueda,Abidal,2007/2008,5
Rueda,Bojan,2007/2008,1
Rueda,Giovano,2007/2008,2
Rueda,Messi,2007/2008,2
Rueda,Samuel Eto''o Fils,2007/2008,2
Rueda,Xavi,2007/2008,6
Samper,Alba,2015/2016,2
Samper,Arda,2015/2016,6
Samper,Bartra,2015/2016,1
Samper,Messi,2015/2016,4
Samper,Neymar,2015/2016,4
Samper,Sergi Roberto,2015/2016,3
Samper,Vermaelen,2015/2016,3
Samper,Vidal,2015/2016,1
Samuel Eto''o Fils,Abella,2004/2005,3
Samuel Eto''o Fils,Abidal,2007/2008,17
Samuel Eto''o Fils,Abidal,2008/2009,23
Samuel Eto''o Fils,Belletti,2004/2005,3
Samuel Eto''o Fils,Belletti,2005/2006,24
Samuel Eto''o Fils,Belletti,2006/2007,1
Samuel Eto''o Fils,Bojan,2007/2008,11
Samuel Eto''o Fils,Bojan,2008/2009,6
Samuel Eto''o Fils,Busquets,2008/2009,42
Samuel Eto''o Fils,Caceres,2008/2009,4
Samuel Eto''o Fils,Dani Alves,2008/2009,83
Samuel Eto''o Fils,Deco,2004/2005,30
Samuel Eto''o Fils,Deco,2005/2006,74
Samuel Eto''o Fils,Deco,2006/2007,79
Samuel Eto''o Fils,Deco,2007/2008,7
Samuel Eto''o Fils,Edmilson,2005/2006,17
Samuel Eto''o Fils,Edmilson,2006/2007,19
Samuel Eto''o Fils,Edmilson,2007/2008,4
Samuel Eto''o Fils,Ezquerro,2005/2006,1
Samuel Eto''o Fils,Ezquerro,2006/2007,2
Samuel Eto''o Fils,Ezquerro,2007/2008,1
Samuel Eto''o Fils,Gabri,2005/2006,5
Samuel Eto''o Fils,Giovano,2007/2008,12
Samuel Eto''o Fils,Giuly,2004/2005,2
Samuel Eto''o Fils,Giuly,2005/2006,27
Samuel Eto''o Fils,Giuly,2006/2007,12
Samuel Eto''o Fils,Gudjohnsen,2006/2007,10
Samuel Eto''o Fils,Gudjohnsen,2007/2008,17
Samuel Eto''o Fils,Gudjohnsen,2008/2009,17
Samuel Eto''o Fils,Henry,2007/2008,13
Samuel Eto''o Fils,Henry,2008/2009,73
Samuel Eto''o Fils,Hleb,2008/2009,9
Samuel Eto''o Fils,Iniesta,2004/2005,27
Samuel Eto''o Fils,Iniesta,2005/2006,28
Samuel Eto''o Fils,Iniesta,2006/2007,51
Samuel Eto''o Fils,Iniesta,2007/2008,23
Samuel Eto''o Fils,Iniesta,2008/2009,73
Samuel Eto''o Fils,Kéita,2008/2009,46
Samuel Eto''o Fils,Larsson,2004/2005,2
Samuel Eto''o Fils,Larsson,2005/2006,25
Samuel Eto''o Fils,Marquez,2004/2005,16
Samuel Eto''o Fils,Marquez,2005/2006,13
Samuel Eto''o Fils,Marquez,2006/2007,6
Samuel Eto''o Fils,Marquez,2007/2008,4
Samuel Eto''o Fils,Marquez,2008/2009,10
Samuel Eto''o Fils,Messi,2004/2005,1
Samuel Eto''o Fils,Messi,2005/2006,46
Samuel Eto''o Fils,Messi,2006/2007,91
Samuel Eto''o Fils,Messi,2007/2008,46
Samuel Eto''o Fils,Messi,2008/2009,152
Samuel Eto''o Fils,Milito,2007/2008,5
Samuel Eto''o Fils,Motta,2004/2005,1
Samuel Eto''o Fils,Motta,2005/2006,15
Samuel Eto''o Fils,Motta,2006/2007,1
Samuel Eto''o Fils,Oleguer,2004/2005,1
Samuel Eto''o Fils,Oleguer,2005/2006,18
Samuel Eto''o Fils,Oleguer,2006/2007,3
Samuel Eto''o Fils,Oleguer,2007/2008,5
Samuel Eto''o Fils,Pedro,2008/2009,2
Samuel Eto''o Fils,Pinto,2007/2008,1
Samuel Eto''o Fils,Pique,2008/2009,7
Samuel Eto''o Fils,Puyol,2004/2005,5
Samuel Eto''o Fils,Puyol,2005/2006,8
Samuel Eto''o Fils,Puyol,2006/2007,4
Samuel Eto''o Fils,Puyol,2007/2008,5
Samuel Eto''o Fils,Puyol,2008/2009,19
Samuel Eto''o Fils,Ronaldinho,2004/2005,29
Samuel Eto''o Fils,Ronaldinho,2005/2006,67
Samuel Eto''o Fils,Ronaldinho,2006/2007,82
Samuel Eto''o Fils,Ronaldinho,2007/2008,22
Samuel Eto''o Fils,Rueda,2007/2008,1
Samuel Eto''o Fils,Saviola,2006/2007,11
Samuel Eto''o Fils,Sylvinho,2004/2005,2
Samuel Eto''o Fils,Sylvinho,2005/2006,14
Samuel Eto''o Fils,Sylvinho,2006/2007,1
Samuel Eto''o Fils,Sylvinho,2007/2008,4
Samuel Eto''o Fils,Sylvinho,2008/2009,4
Samuel Eto''o Fils,Thuram,2006/2007,4
Samuel Eto''o Fils,Thuram,2007/2008,1
Samuel Eto''o Fils,Toure,2007/2008,21
Samuel Eto''o Fils,Toure,2008/2009,32
Samuel Eto''o Fils,Victor Sanchez,2008/2009,2
Samuel Eto''o Fils,Xavi,2004/2005,17
Samuel Eto''o Fils,Xavi,2005/2006,40
Samuel Eto''o Fils,Xavi,2006/2007,78
Samuel Eto''o Fils,Xavi,2007/2008,64
Samuel Eto''o Fils,Xavi,2008/2009,162
Samuel Eto''o Fils,Zambrotta,2006/2007,31
Samuel Eto''o Fils,Zambrotta,2007/2008,5
Samuel Eto''o Fils,van Bommel,2005/2006,20
Samuel Eto''o Fils,van Bronckhorst,2004/2005,9
Samuel Eto''o Fils,van Bronckhorst,2005/2006,1
Samuel Eto''o Fils,van Bronckhorst,2006/2007,20
Sandro,Adriano,2014/2015,2
Sandro,Adriano,2015/2016,1
Sandro,Alba,2014/2015,11
Sandro,Alba,2015/2016,13
Sandro,Busquets,2014/2015,1
Sandro,Busquets,2015/2016,6
Sandro,Dani Alves,2014/2015,8
Sandro,Dani Alves,2015/2016,19
Sandro,Iniesta,2014/2015,4
Sandro,Iniesta,2015/2016,7
Sandro,Ivan Rakitić,2014/2015,4
Sandro,Ivan Rakitić,2015/2016,15
Sandro,Mascherano,2014/2015,2
Sandro,Mascherano,2015/2016,2
Sandro,Mathieu,2014/2015,3
Sandro,Messi,2014/2015,6
Sandro,Messi,2015/2016,4
Sandro,Munir,2014/2015,4
Sandro,Munir,2015/2016,2
Sandro,Neymar,2015/2016,1
Sandro,Pedro,2014/2015,2
Sandro,Sergi Roberto,2014/2015,4
Sandro,Sergi Roberto,2015/2016,6
Sandro,Suarez,2015/2016,12
Sandro,Xavi,2014/2015,4
Saviola,Belletti,2006/2007,3
Saviola,Deco,2006/2007,17
Saviola,Edmilson,2006/2007,2
Saviola,Giuly,2006/2007,5
Saviola,Iniesta,2006/2007,11
Saviola,Marquez,2006/2007,2
Saviola,Messi,2006/2007,12
Saviola,Oleguer,2006/2007,1
Saviola,Ronaldinho,2006/2007,15
Saviola,Samuel Eto''o Fils,2006/2007,6
Saviola,Sylvinho,2006/2007,3
Saviola,Xavi,2006/2007,9
Saviola,Zambrotta,2006/2007,5
Saviola,van Bronckhorst,2006/2007,3
Sergi Roberto,Adriano,2013/2014,5
Sergi Roberto,Adriano,2014/2015,27
Sergi Roberto,Adriano,2015/2016,8
Sergi Roberto,Alba,2013/2014,3
Sergi Roberto,Alba,2014/2015,21
Sergi Roberto,Alba,2015/2016,66
Sergi Roberto,Alexis,2011/2012,11
Sergi Roberto,Alexis,2013/2014,8
Sergi Roberto,Arda,2015/2016,58
Sergi Roberto,Bartra,2013/2014,2
Sergi Roberto,Bartra,2014/2015,38
Sergi Roberto,Bartra,2015/2016,11
Sergi Roberto,Bravo,2014/2015,4
Sergi Roberto,Bravo,2015/2016,7
Sergi Roberto,Busquets,2013/2014,8
Sergi Roberto,Busquets,2014/2015,7
Sergi Roberto,Busquets,2015/2016,104
Sergi Roberto,Cuenca,2011/2012,11
Sergi Roberto,Dani Alves,2011/2012,5
Sergi Roberto,Dani Alves,2013/2014,15
Sergi Roberto,Dani Alves,2014/2015,21
Sergi Roberto,Dani Alves,2015/2016,89
Sergi Roberto,Douglas,2014/2015,2
Sergi Roberto,Fabregas,2011/2012,1
Sergi Roberto,Fabregas,2013/2014,4
Sergi Roberto,Iniesta,2014/2015,1
Sergi Roberto,Iniesta,2015/2016,70
Sergi Roberto,Ivan Rakitić,2014/2015,28
Sergi Roberto,Ivan Rakitić,2015/2016,164
Sergi Roberto,Mascherano,2011/2012,4
Sergi Roberto,Mascherano,2013/2014,4
Sergi Roberto,Mascherano,2014/2015,18
Sergi Roberto,Mascherano,2015/2016,79
Sergi Roberto,Masip,2014/2015,3
Sergi Roberto,Mathieu,2014/2015,38
Sergi Roberto,Mathieu,2015/2016,34
Sergi Roberto,Messi,2011/2012,9
Sergi Roberto,Messi,2013/2014,11
Sergi Roberto,Messi,2014/2015,46
Sergi Roberto,Messi,2015/2016,125
Sergi Roberto,Montoya,2013/2014,4
Sergi Roberto,Montoya,2014/2015,30
Sergi Roberto,Munir,2014/2015,3
Sergi Roberto,Munir,2015/2016,45
Sergi Roberto,Neymar,2013/2014,3
Sergi Roberto,Neymar,2014/2015,36
Sergi Roberto,Neymar,2015/2016,143
Sergi Roberto,Pedro,2011/2012,2
Sergi Roberto,Pedro,2013/2014,7
Sergi Roberto,Pedro,2014/2015,18
Sergi Roberto,Pinto,2013/2014,1
Sergi Roberto,Pique,2011/2012,3
Sergi Roberto,Pique,2013/2014,3
Sergi Roberto,Pique,2014/2015,10
Sergi Roberto,Pique,2015/2016,107
Sergi Roberto,Puyol,2011/2012,1
Sergi Roberto,Rafinha,2014/2015,32
Sergi Roberto,Rafinha,2015/2016,37
Sergi Roberto,Samper,2015/2016,1
Sergi Roberto,Sandro,2014/2015,4
Sergi Roberto,Sandro,2015/2016,7
Sergi Roberto,Song,2013/2014,5
Sergi Roberto,Suarez,2014/2015,11
Sergi Roberto,Suarez,2015/2016,133
Sergi Roberto,Tello,2011/2012,1
Sergi Roberto,Tello,2013/2014,5
Sergi Roberto,Thiago,2011/2012,5
Sergi Roberto,Valdes,2013/2014,1
Sergi Roberto,Vermaelen,2014/2015,9
Sergi Roberto,Vermaelen,2015/2016,22
Sergi Roberto,Vidal,2015/2016,20
