,Ann,Bur,Fox,Jam,Jod,Mis,Neg
Ann,0,45,0,0,1567,2262,16
Bur,90,0,394,0,1197,0,0
Fox,0,36,0,97,0,119,262
Jam,0,0,169,0,127,0,349
Jod,0,0,13,110,0,0,471
Mis,130,652,232,335,2159,0,951
Neg,0,0,799,0,77,0,0
